product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,product_volume_cm3,product_density_g_per_cm3,product_complexity_score,size_category,units_sold,total_revenue,avg_price,avg_product_rating
1e9e8ef04dbcff4541ed26657ea517e5,perfumaria,40.0,287.0,1.0,225.0,16.0,10.0,14.0,perfumery,2240.0,0.1004,3.37,Small,1,10.91,10.91,5.0
3aa071139cb16b67ca9e5dea641aaa2f,artes,44.0,276.0,1.0,1000.0,30.0,18.0,20.0,art,10800.0,0.0926,3.26,Medium,1,248.0,248.0,5.0
96bd76ec8810374ed1b65e291975717f,esporte_lazer,46.0,250.0,1.0,154.0,18.0,9.0,15.0,sports_leisure,2430.0,0.0634,3.0,Small,1,79.8,79.8,5.0
cef67bcfe19066a932b7673e239eb23d,bebes,27.0,261.0,1.0,371.0,26.0,4.0,26.0,baby,2704.0,0.1372,3.11,Small,1,112.3,112.3,1.0
41d3672d4792049fa1779bb35283ed13,instrumentos_musicais,60.0,745.0,1.0,200.0,38.0,5.0,11.0,musical_instruments,2090.0,0.0957,7.95,Small,1,45.87,45.87,5.0
2548af3e6e77a690cf3eb6368e9ab61e,moveis_decoracao,56.0,184.0,2.0,900.0,40.0,8.0,40.0,furniture_decor,12800.0,0.0703,2.84,Medium,9,89.91,9.99,1.4444444444444444
14aa47b7fe5c25522b47b4b29c98dcb9,cama_mesa_banho,54.0,630.0,1.0,1100.0,16.0,10.0,16.0,bed_bath_table,2560.0,0.4297,6.8,Medium,4,287.96,71.99,5.0
cf55509ea8edaaac1d28fdb16e48fc22,instrumentos_musicais,43.0,1827.0,3.0,250.0,17.0,7.0,17.0,musical_instruments,2023.0,0.1236,19.77,Small,1,207.25,207.25,5.0
3bb7f144022e6732727d8d838a7b13b3,esporte_lazer,22.0,3021.0,1.0,800.0,16.0,2.0,11.0,sports_leisure,352.0,2.2727,30.71,Medium,1,26.7,26.7,5.0
a0736b92e52f6cead290e30b578413b6,moveis_decoracao,56.0,296.0,2.0,1700.0,100.0,7.0,15.0,furniture_decor,10500.0,0.1619,3.96,Medium,2,99.4,49.7,4.5
1c1890ba1779090cd54008a3c3302921,moveis_decoracao,27.0,158.0,4.0,2550.0,29.0,24.0,45.0,furniture_decor,31320.0,0.0814,3.58,Large,3,335.70000000000005,111.90000000000002,3.333333333333333
518ef5de2c2b3a255e326a4594ba15d9,cama_mesa_banho,27.0,329.0,2.0,800.0,36.0,8.0,16.0,bed_bath_table,4608.0,0.1736,4.29,Medium,1,145.0,145.0,4.0
e3e020af31d4d89d2602272b315c3f6e,beleza_saude,58.0,1987.0,3.0,75.0,21.0,7.0,13.0,health_beauty,1911.0,0.0392,21.37,Small,1,29.9,29.9,4.0
8b41fbc2b984a12030090112324d1bc4,bebes,55.0,1627.0,1.0,500.0,20.0,13.0,13.0,baby,3380.0,0.1479,16.77,Medium,1,48.9,48.9,5.0
d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,56.0,209.0,1.0,1800.0,40.0,10.0,30.0,furniture_decor,12000.0,0.15,2.59,Medium,9,709.1,78.78888888888889,4.875
c78b767da00efb70c1bcccab87c28cd5,informatica_acessorios,35.0,1101.0,2.0,300.0,42.0,2.0,30.0,computers_accessories,2520.0,0.119,12.01,Small,5,182.5,36.5,4.0
a0253d43394dd4da9a5d7b1f546f1a32,informatica_acessorios,59.0,1890.0,2.0,740.0,23.0,13.0,13.0,computers_accessories,3887.0,0.1904,19.9,Medium,1,208.0,208.0,5.0
